SEASON,PLAYER_NAME,TEAM_ABBREVIATION,FANTASY_RANK_SCORE,FANTASY_RANK_PERCENTILE,FANTASY_POINTS_PER_MIN,PCT_MINUTES_PLAYED,GP,AVG_MINUTES,FANTASY_POINTS,AVG_FANTASY_PPG
2023-24,Vít Krejčí,ATL,0.13634759735677168,3.8318912237330034,0.33,13.75,22,24.61,177.0,8.05
2024-25,AJ Johnson,WAS,0.13428391180684757,3.7082818294190356,0.29,16.22,29,22.01,184.5,6.36
2023-24,Matt Ryan,NOP,0.13376665383546116,3.584672435105068,0.38,9.92,28,13.94,148.5,5.3
2024-25,Reggie Jackson,PHI,0.13265461602617565,3.4610630407911,0.38,9.76,31,12.39,146.5,4.73
2023-24,Johnny Juzang,UTA,0.13050004277068494,3.3374536464771323,0.38,9.45,20,18.59,142.5,7.12
2023-24,Trent Forrest,ATL,0.12825190864181688,3.2138442521631645,0.36,10.51,38,10.89,149.5,3.93
2024-25,Dariq Whitehead,BKN,0.12749005581574388,3.0902348578491967,0.42,6.25,20,12.3,104.5,5.22
2023-24,Rayan Rupert,POR,0.1237649964714185,2.966625463535229,0.27,16.09,39,16.24,171.5,4.4
2024-25,JT Thor,WAS,0.11843069010500203,2.843016069221261,0.4,6.33,20,12.47,99.5,4.97
2024-25,Isaiah Wong,CHA,0.1165420970466842,2.719406674907293,0.39,6.75,20,13.28,104.5,5.22
2024-25,Cam Reddish,LAL,0.11605023416950025,2.595797280593325,0.27,14.98,33,17.86,158.0,4.79
2023-24,Garrett Temple,TOR,0.11583504416073222,2.4721878862793574,0.38,7.34,27,10.69,109.5,4.06
2023-24,Wesley Matthews,ATL,0.11368982699257929,2.3485784919653896,0.33,10.49,36,11.47,135.0,3.75
2023-24,Danuel House Jr.,PHI,0.11141763435341415,2.2249690976514214,0.29,12.93,34,14.97,150.0,4.41
2024-25,Trey Jemison III,LAL,0.11000620174932102,2.1013597033374536,0.33,9.96,38,10.32,128.0,3.37
2024-25,Maxi Kleber,LAL,0.10996744081606466,1.9777503090234856,0.24,16.18,34,18.73,152.5,4.49
2023-24,Johnny Davis,WAS,0.10586680139432433,1.8541409147095178,0.24,15.59,50,12.27,149.0,2.98
2024-25,Patty Mills,LAC,0.10223396633947093,1.73053152039555,0.34,8.15,29,11.06,109.0,3.76
2023-24,Brandon Boston,LAC,0.10173542054276,1.6069221260815822,0.33,8.77,32,10.79,114.0,3.56
2023-24,Patty Mills,MIA,0.09968376424798442,1.4833127317676145,0.3,10.55,32,12.98,123.0,3.84
2024-25,Reece Beekman,BKN,0.09478251106691474,1.3597033374536465,0.27,11.92,36,13.04,127.0,3.53
2023-24,Jalen McDaniels,TOR,0.09252234768289813,1.2360939431396787,0.24,13.67,50,10.76,127.5,2.55
2023-24,P.J. Tucker,LAC,0.08822523042706529,1.1124845488257107,0.25,12.36,31,15.69,120.5,3.89
2023-24,Yuta Watanabe,MEM,0.07471771347918137,0.9888751545117428,0.23,11.8,34,13.66,105.0,3.09
2023-24,Isaiah Livers,DET,0.07081355189153353,0.865265760197775,0.22,11.93,23,20.41,102.5,4.46
2023-24,Justin Minaya,POR,0.06959859712153289,0.7416563658838072,0.25,9.68,34,11.21,93.5,2.75
2023-24,Ibou Badji,POR,0.0662531276063386,0.6180469715698393,0.3,5.74,22,10.26,67.5,3.07
2023-24,Cory Joseph,GSW,0.06420147131156305,0.4944375772558714,0.27,7.52,26,11.38,80.5,3.1
2023-24,Onuralp Bitim,CHI,0.040036034302089345,0.3708281829419036,0.23,6.81,23,11.65,60.5,2.63
2023-24,Taj Gibson,DET,0.028846153846153844,0.2472187886279357,0.23,5.2,20,10.23,47.0,2.35
2023-24,Nathan Mensah,CHA,0.022808804345501584,0.12360939431396785,0.18,7.79,25,12.27,54.5,2.18
