PLAYER_NAME,TEAM_ABBREVIATION,FANTASY_RANK_SCORE,FANTASY_RANK_PERCENTILE,FANTASY_POINTS_PER_MIN,PCT_MINUTES_PLAYED,PCT_GAMES_PLAYED,GP,AVG_MINUTES,FANTASY_POINTS,AVG_FANTASY_PPG
Jalen Brunson,NYK,0.7171252657952796,96.29629629629629,0.7425352112676056,64.31718309859156,87.20316901408451,142,35.405422535211265,3724.5,26.22887323943662
Karl-Anthony Towns,MIN,0.7146390755900001,96.09053497942386,0.8159701492537313,58.16567164179105,82.15985074626865,134,33.89507462686568,3715.5,27.72686567164179
Ivica Zubac,LAC,0.712302937092008,95.88477366255144,0.7802702702702703,56.984594594594604,90.83810810810812,148,29.85486486486487,3488.0,23.568918918918918
Devin Booker,PHX,0.7116258289991578,95.67901234567901,0.708041958041958,66.8016083916084,87.40377622377622,143,36.65657342657343,3703.0,25.89384615384615
DeMar DeRozan,SAC,0.7046710967369361,95.47325102880659,0.6002564102564102,73.16096153846154,95.13564102564102,156,36.897115384615375,3464.0,22.203397435897436
Rudy Gobert,MIN,0.7024303056763938,95.26748971193416,0.7056756756756757,63.35027027027027,90.30594594594594,148,33.65783783783784,3525.0,23.81918918918919
Alperen Sengun,HOU,0.6993141032420247,95.06172839506173,0.78,56.825251798561155,85.49618705035972,139,31.945107913669062,3471.0,24.96884892086331
Michael Porter Jr.,DEN,0.694079508975765,94.8559670781893,0.64,65.51575949367088,96.40177215189873,158,32.64443037974684,3314.5,20.977151898734178
Mikal Bridges,NYK,0.69160132549489,94.65020576131687,0.5349999999999999,74.83,100.0,164,35.92,3142.0,19.16
Damian Lillard,MIL,0.6892370617608795,94.44444444444444,0.7521374045801527,60.046488549618324,80.92213740458014,131,35.656488549618324,3494.5,26.671603053435113
Austin Reaves,LAL,0.6862808643395041,94.23868312757202,0.628258064516129,65.84806451612904,94.82877419354838,155,33.41167741935484,3248.0,20.954387096774195
Trae Young,ATL,0.6860063931963499,94.03292181069959,0.7324615384615385,61.17430769230769,81.53523076923076,130,36.00676923076923,3421.5,26.322000000000003
Jonas Valančiūnas,SAC,0.6852511098789899,93.82716049382715,0.7998159509202454,43.83625766871165,99.39374233128835,163,21.154294478527603,2746.0,16.8479754601227
Josh Hart,NYK,0.6835502354717423,93.62139917695474,0.5682278481012658,71.12386075949367,96.40177215189873,158,35.46683544303798,3214.5,20.342974683544305
Jalen Green,HOU,0.6835471432122003,93.4156378600823,0.585,67.305,100.0,164,32.305,3106.0,18.939999999999998
Josh Giddey,OKC,0.6769574936162056,93.20987654320987,0.7426666666666667,52.355999999999995,91.87133333333334,150,27.52,3072.5,20.47933333333333
De'Aaron Fox,SAS,0.6759352263296609,93.00411522633745,0.6880882352941178,62.713088235294116,83.57044117647058,136,36.03029411764706,3367.0,24.75485294117647
