SEASON,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FANTASY_POINTS,AVG_FANTASY_PPG,FANTASY_POINTS_PER_MIN,PCT_GAMES_PLAYED,AVG_MINUTES,PCT_MINUTES_PLAYED,PTS,REB,AST,STL,BLK,TOV,PF,FGM,FGA,FTM,FTA,FG3M,OREB
2024-25,Pete Nance,MIL,13,138.16666666666666,46.5,3.58,0.34,15.85,10.63,3.51,38,21,10,2,2,4,17,14,32,1,2,9,5
2024-25,PJ Hall,DEN,19,66.18333333333334,46.0,2.42,0.7,23.17,3.48,1.68,33,22,4,0,4,2,11,14,24,3,4,2,6
2024-25,Nate Williams,HOU,20,146.62,45.5,2.28,0.31,24.39,7.33,3.73,65,13,9,8,4,14,16,27,62,5,8,6,5
2023-24,T.J. Warren,MIN,11,124.67333333333333,45.0,4.09,0.36,13.41,11.33,3.17,41,22,9,4,1,4,11,18,41,3,4,2,5
2024-25,Xavier Tillman,BOS,33,230.90333333333334,45.0,1.36,0.19,40.24,7.0,5.87,34,43,7,11,5,14,18,13,53,3,4,5,10
2023-24,Armoni Brooks,BKN,10,104.02333333333333,44.5,4.45,0.43,12.2,10.4,2.64,42,18,5,1,1,3,3,15,46,1,2,11,7
2024-25,N'Faly Dante,HOU,4,50.61666666666667,44.0,11.0,0.87,4.88,12.65,1.29,24,21,2,1,5,2,9,10,13,4,5,0,6
2024-25,Daeqwon Plowden,ATL,6,71.55,44.0,7.33,0.61,7.32,11.92,1.82,43,11,2,0,0,4,10,16,25,2,2,9,4
2024-25,Yuki Kawamura,MEM,22,92.66666666666667,43.0,1.95,0.46,26.83,4.21,2.35,36,12,19,2,0,5,8,11,30,7,9,7,0
2024-25,RayJ Dennis,IND,11,70.38333333333334,42.5,3.86,0.6,13.41,6.4,1.79,30,12,14,7,2,5,7,11,33,2,2,6,2
2024-25,Vlatko Čančar,DEN,13,135.82833333333335,42.5,3.27,0.31,15.85,10.45,3.45,24,32,9,3,2,11,10,10,26,0,0,4,6
2023-24,Xavier Moon,LAC,14,119.25,42.0,3.0,0.35,17.07,8.52,3.03,33,18,21,3,3,5,8,15,46,1,2,2,8
2023-24,Mouhamed Gueye,ATL,6,72.8,41.5,6.92,0.57,7.32,12.13,1.85,24,22,4,5,4,1,13,8,23,5,6,3,10
2023-24,Brandon Williams,DAL,17,112.87,41.0,2.41,0.36,20.73,6.64,2.87,54,13,17,1,1,7,4,20,54,11,17,3,4
2024-25,Elijah Harkless,UTA,10,138.0,41.0,4.1,0.3,12.2,13.8,3.51,32,21,8,10,1,3,18,11,35,3,6,7,9
2023-24,Braxton Key,DEN,20,59.983333333333334,39.0,1.95,0.65,24.39,3.0,1.52,22,18,9,2,1,1,5,7,17,6,8,2,3
2023-24,Theo Maledon,PHX,17,213.19666666666666,38.5,2.26,0.18,20.73,12.54,5.42,59,24,28,7,0,18,21,20,70,14,15,5,4
2023-24,Matt Hurt,MEM,8,113.23833333333333,38.5,4.81,0.34,9.76,14.15,2.88,32,16,4,3,3,2,8,12,34,3,3,5,9
2023-24,Oscar Tshiebwe,IND,8,41.916666666666664,37.5,4.69,0.89,9.76,5.24,1.06,26,16,2,2,1,0,3,10,20,6,8,0,8
2024-25,Jaylen Sims,CHA,6,111.80833333333334,36.5,6.08,0.33,7.32,18.63,2.84,42,6,12,3,1,8,10,12,28,12,15,6,3
2023-24,Kobi Simmons,TOR,4,67.43333333333334,35.5,8.88,0.53,4.88,16.86,1.71,20,7,12,6,2,1,5,9,21,0,0,2,1
2024-25,Sidy Cissoko,POR,22,114.46333333333334,35.5,1.61,0.31,26.83,5.2,2.91,32,21,15,2,1,11,10,13,30,3,9,3,8
2023-24,RaiQuan Gray,SAS,3,39.03333333333333,35.0,11.67,0.9,3.66,13.01,0.99,23,7,6,1,1,1,0,10,17,0,0,3,2
2024-25,Emoni Bates,CLE,10,74.78333333333333,35.0,3.5,0.47,12.2,7.48,1.9,37,7,8,1,1,2,4,13,38,0,0,11,0
2024-25,Tyson Etienne,BKN,7,151.08166666666668,34.5,4.93,0.23,8.54,21.58,3.84,55,9,12,3,1,8,17,17,52,8,10,13,3
2024-25,Jacob Toppin,ATL,17,75.15,34.5,2.03,0.46,20.73,4.42,1.91,23,15,6,2,0,3,3,9,22,0,0,5,3
2023-24,Jason Preston,UTA,7,71.13333333333334,34.5,4.93,0.49,8.54,10.16,1.81,12,17,16,2,1,2,3,6,19,0,0,0,6
2024-25,Pacôme Dadiet,NYK,18,111.17833333333333,34.0,1.89,0.31,21.95,6.18,2.82,30,18,5,3,2,4,7,10,31,4,6,6,3
2024-25,Nae'Qwan Tomlin,CLE,5,63.4,34.0,6.8,0.54,6.1,12.68,1.61,36,21,2,0,1,2,9,13,32,8,11,2,9
2024-25,JD Davison,BOS,16,92.915,34.0,2.12,0.37,19.51,5.81,2.36,33,13,13,5,1,13,2,12,34,5,7,4,2
2024-25,TyTy Washington Jr.,PHX,16,118.34833333333333,33.5,2.09,0.28,19.51,7.4,3.01,35,13,16,3,0,3,4,14,45,3,6,4,4
2023-24,David Duke Jr.,SAS,4,51.35,33.0,8.25,0.64,4.88,12.84,1.3,26,10,5,2,0,3,4,10,18,3,3,3,2
2023-24,Malik Williams,TOR,7,106.50833333333334,33.0,4.71,0.31,8.54,15.22,2.71,19,38,2,3,4,3,15,9,34,0,2,1,15
2024-25,Mason Jones,SAC,10,45.391666666666666,32.5,3.25,0.72,12.2,4.54,1.15,23,9,11,0,1,1,3,9,18,4,5,1,2
2023-24,Mouhamadou Gueye,TOR,11,119.94166666666666,32.5,2.95,0.27,13.41,10.9,3.05,26,23,5,3,18,12,15,11,38,4,9,0,12
2023-24,Cole Swider,MIA,18,86.79833333333333,32.5,1.81,0.37,21.95,4.82,2.21,42,7,5,1,1,8,4,15,38,2,2,10,1
2023-24,Jermaine Samuels Jr.,HOU,14,60.13166666666667,32.0,2.29,0.53,17.07,4.3,1.53,20,13,3,1,2,0,5,9,14,2,2,0,3
2023-24,Joe Harris,DET,16,169.97833333333332,32.0,2.0,0.19,19.51,10.62,4.32,39,13,10,3,2,4,19,14,39,1,2,10,3
2023-24,Jay Huff,DEN,20,49.325,31.5,1.58,0.64,24.39,2.47,1.25,23,11,2,2,3,1,9,9,15,2,2,3,2
2023-24,Buddy Boeheim,DET,10,84.00166666666667,31.0,3.1,0.37,12.2,8.4,2.13,34,10,3,0,1,0,5,9,29,8,10,8,3
2024-25,Jackson Rowe,GSW,6,51.73166666666667,30.5,5.08,0.59,7.32,8.62,1.31,22,11,4,4,0,1,4,8,17,3,6,3,3
2024-25,Jae Crowder,SAC,9,102.76166666666667,30.5,3.39,0.3,10.98,11.42,2.61,23,20,6,3,0,4,10,7,22,5,6,4,6
2023-24,Emoni Bates,CLE,15,132.815,30.0,2.0,0.23,18.29,8.85,3.37,41,14,10,1,2,8,5,15,49,1,4,10,1
2023-24,Jordan Walsh,BOS,9,83.47333333333333,29.5,3.28,0.35,10.98,9.27,2.12,15,20,5,5,1,3,11,6,15,1,2,2,5
2024-25,Josh Christopher,MIA,14,69.35,29.0,2.07,0.42,17.07,4.95,1.76,28,9,8,5,3,6,2,11,31,4,6,2,0
2023-24,JD Davison,BOS,8,39.01,29.0,3.62,0.74,9.76,4.88,0.99,16,10,10,1,1,2,4,5,12,3,4,3,2
2023-24,AJ Griffin,ATL,20,170.73,28.5,1.42,0.17,24.39,8.54,4.34,48,18,5,1,2,8,6,18,62,2,2,10,2
2023-24,Keon Johnson,BKN,5,61.401666666666664,28.5,5.7,0.46,6.1,12.28,1.56,31,7,3,3,1,5,5,8,21,11,12,4,3
2023-24,Thanasis Antetokounmpo,MIL,34,155.43166666666667,28.0,0.82,0.18,41.46,4.57,3.95,32,13,17,7,4,14,24,16,30,0,2,0,7
2023-24,Wendell Moore Jr.,MIN,25,75.13166666666666,27.0,1.08,0.36,30.49,3.01,1.91,18,12,6,5,1,4,5,9,18,0,0,0,0
2023-24,Ish Wainright,PHX,11,62.39,27.0,2.45,0.43,13.41,5.67,1.59,23,14,1,4,1,2,8,7,24,2,2,7,3
2023-24,Admiral Schofield,ORL,23,84.35833333333333,27.0,1.17,0.32,28.05,3.67,2.14,26,17,7,1,0,5,9,10,26,0,2,6,3
2024-25,Josh Richardson,MIA,8,149.49,26.5,3.31,0.18,9.76,18.69,3.8,32,12,12,8,1,8,17,11,38,4,4,6,6
2023-24,Jett Howard,ORL,18,66.51666666666667,26.5,1.47,0.4,21.95,3.7,1.69,29,7,6,2,2,3,4,10,30,2,4,7,1
2023-24,Chris Livingston,MIL,21,90.53333333333333,25.5,1.21,0.28,25.61,4.31,2.3,26,21,5,2,0,5,15,11,22,3,4,1,3
2023-24,Daishen Nix,MIN,15,49.78333333333333,25.0,1.67,0.5,18.29,3.32,1.26,27,3,6,5,0,5,2,9,24,3,6,6,1
2024-25,Taylor Hendricks,UTA,3,74.51666666666667,25.0,8.33,0.34,3.66,24.84,1.89,14,15,2,5,4,2,8,4,18,3,4,3,5
2024-25,Marcus Garrett,CHA,4,79.38333333333334,25.0,6.25,0.31,4.88,19.85,2.02,28,6,13,3,2,6,10,11,27,3,4,3,1
2024-25,Jamaree Bouyea,MIL,5,61.7,24.5,4.9,0.4,6.1,12.34,1.57,17,5,10,4,2,8,2,6,12,4,6,1,1
2023-24,Amari Bailey,CHA,10,64.63333333333334,24.5,2.45,0.38,12.2,6.46,1.64,23,9,7,3,0,4,2,8,24,6,7,1,6
2023-24,Colin Castleton,LAL,16,59.08,24.0,1.5,0.41,19.51,3.69,1.5,24,12,3,2,0,3,11,9,16,6,6,0,6
2024-25,Leonard Miller,MIN,13,31.595,24.0,1.85,0.76,15.85,2.43,0.8,20,11,0,2,1,2,2,6,15,8,8,0,3
2023-24,Isaiah Mobley,CLE,10,71.92166666666667,23.5,2.35,0.33,12.2,7.19,1.83,23,10,6,2,0,2,6,10,24,0,1,3,3
2023-24,Gabe Vincent,LAL,11,217.635,23.5,2.14,0.11,13.41,19.78,5.53,34,9,21,9,0,5,19,15,49,1,2,3,4
2024-25,Cam Christie,LAC,13,58.64833333333333,23.5,1.81,0.4,15.85,4.51,1.49,18,12,6,5,1,2,4,7,24,2,4,2,3
2024-25,Spencer Jones,DEN,20,124.625,23.0,1.15,0.18,24.39,6.23,3.17,26,17,5,5,5,5,17,11,34,3,3,1,8
2023-24,Dexter Dennis,DAL,4,29.866666666666667,23.0,5.75,0.77,4.88,7.47,0.76,22,9,4,0,1,3,1,10,19,1,3,1,1
2024-25,Matt Ryan,NYK,19,67.82166666666667,23.0,1.21,0.34,23.17,3.57,1.72,28,8,3,2,0,3,1,10,31,2,2,6,0
2024-25,Bobi Klintman,DET,8,42.38166666666667,22.0,2.75,0.52,9.76,5.3,1.08,15,7,7,2,1,1,8,6,10,1,2,2,1
2024-25,E.J. Liddell,CHI,12,52.85666666666667,20.5,1.71,0.39,14.63,4.4,1.34,21,9,3,1,1,2,11,8,15,2,2,3,3
2024-25,Stanley Umude,MIL,22,85.77666666666667,20.5,0.93,0.24,26.83,3.9,2.18,15,17,4,3,6,3,8,5,26,2,4,3,4
2024-25,Malachi Flynn,CHA,4,43.68,20.0,5.0,0.46,4.88,10.92,1.11,16,7,7,3,0,4,4,5,13,5,6,1,3
2023-24,Jacob Toppin,NYK,9,38.151666666666664,19.0,2.11,0.5,10.98,4.24,0.97,13,7,3,0,1,1,3,5,9,2,2,1,3
2024-25,Trey Alexander,DEN,24,117.22166666666666,19.0,0.79,0.16,29.27,4.88,2.98,32,12,11,2,1,5,10,13,41,3,4,3,1
2023-24,Wenyen Gabriel,MEM,5,81.01666666666667,18.5,3.7,0.23,6.1,16.2,2.06,17,25,3,2,2,8,10,8,22,0,5,1,7
2023-24,Tazé Moore,POR,4,40.333333333333336,18.0,4.5,0.45,4.88,10.08,1.02,18,8,5,2,0,3,4,8,19,1,2,1,4
