PLAYER_NAME,TEAM_ABBREVIATION,FANTASY_RANK_SCORE,FANTASY_RANK_PERCENTILE,FANTASY_POINTS_PER_MIN,PCT_MINUTES_PLAYED,GP,AVG_MINUTES,FANTASY_POINTS,AVG_FANTASY_PPG
Matas Buzelis,CHI,0.43376815486955916,56.79012345679012,0.53,38.4,80,18.89,799.5,9.99
Ausar Thompson,DET,0.43317968509373617,56.5843621399177,0.548360655737705,37.07622950819672,122,23.852950819672134,1594.5,13.06688524590164
Andrew Nembhard,IND,0.4329821063691995,56.37860082304527,0.42488721804511276,45.392330827067674,133,26.89511278195489,1529.5,11.501428571428573
Kevin Huerter,CHI,0.42952298714436254,56.17283950617284,0.47924812030075187,41.230827067669175,133,24.368496240601505,1551.5,11.667142857142858
Scoot Henderson,POR,0.4292803614392493,55.96707818930041,0.42640625,44.7675,128,27.5315625,1487.5,11.620156249999999
Bilal Coulibaly,WAS,0.4279678454692123,55.76131687242798,0.39901639344262296,46.43327868852459,122,30.025245901639344,1475.5,12.094754098360655
Zach Collins,CHI,0.42655138057144976,55.55555555555556,0.6088721804511278,32.05203007518797,133,18.818571428571428,1516.0,11.398646616541352
Kevon Looney,GSW,0.42487603650489825,55.349794238683124,0.6405333333333334,29.676133333333333,150,15.577600000000002,1489.0,9.928133333333331
Moussa Diabaté,LAC,0.4214774295463747,55.144032921810705,0.6654878048780487,27.510365853658534,82,15.909878048780486,843.0,10.280243902439025
Isaiah Stewart,DET,0.42138365608133227,54.93827160493827,0.5349152542372881,36.32084745762712,118,24.205932203389832,1507.0,12.770508474576271
Kyshawn George,WAS,0.41908826392730186,54.73251028806584,0.39,45.79,68,26.5,695.5,10.23
Jonathan Isaac,ORL,0.41789616731430246,54.52674897119342,0.6849612403100775,25.689224806201548,129,15.538837209302324,1374.5,10.651782945736434
Jordan Clarkson,UTA,0.4162946746426496,54.32098765432099,0.5381521739130435,35.384239130434786,92,28.748043478260872,1407.5,15.300760869565218
Brandon Clarke,MEM,0.41626910594072086,54.11522633744856,0.6425714285714287,28.324285714285715,70,19.162571428571425,856.5,12.238857142857142
Kyle Anderson,MIA,0.4134106169521664,53.90946502057613,0.5135714285714285,36.6385,140,19.88907142857143,1408.0,10.055857142857144
Keon Ellis,SAC,0.4126470788661265,53.70370370370371,0.4733576642335767,39.24832116788321,137,21.362700729927006,1388.0,10.126642335766423
Justin Champagnie,WAS,0.4122400442421938,53.49794238683128,0.6302597402597403,28.587922077922084,77,20.45896103896104,992.0,12.885324675324675
Terance Mann,ATL,0.41170276738856015,53.29218106995884,0.4294366197183099,42.083169014084504,142,23.148732394366196,1404.5,9.889084507042254
Dalton Knecht,LAL,0.41141584863595304,53.086419753086425,0.49,37.95,78,19.15,732.5,9.39
Luke Kennard,MEM,0.4072562200541256,52.88065843621399,0.5562500000000001,32.886250000000004,104,23.7575,1377.5,13.246250000000002
Kevin Love,MIA,0.4063892045017918,52.674897119341566,0.7682051282051282,18.44064102564103,78,15.069102564102563,910.0,11.666153846153847
Bojan Bogdanović,NYK,0.40378967508907765,52.46913580246913,0.48,37.55,57,25.93,713.5,12.52
Kris Dunn,UTA,0.4027364251188009,52.2633744855967,0.4577142857142857,38.90742857142857,140,21.65742857142857,1366.0,9.754714285714284
Moses Moody,GSW,0.4015119324774703,52.05761316872428,0.49828571428571433,35.993,140,20.036571428571428,1386.5,9.901285714285715
Peyton Watson,DEN,0.40069603214034033,51.85185185185185,0.44081081081081075,39.76189189189189,148,21.241891891891893,1385.0,9.357027027027026
Ochai Agbaji,TOR,0.3995092487893714,51.64609053497943,0.3930985915492958,42.8187323943662,142,23.80830985915493,1344.0,9.464084507042255
Isaiah Jackson,IND,0.3929781132658533,51.440329218106996,0.7430769230769231,18.24692307692308,65,13.152307692307692,632.5,9.726153846153846
Patrick Beverley,MIL,0.3914438315267157,51.23456790123457,0.45999999999999996,37.16,73,20.03,668.5,9.16
Jabari Walker,POR,0.39125800279103917,51.028806584362144,0.5327272727272727,32.21909090909091,132,18.560909090909092,1296.5,9.820909090909092
Bruce Brown,NOP,0.39100165828174505,50.82304526748971,0.4424074074074074,38.28648148148149,108,25.805185185185184,1232.5,11.416388888888887
Miles McBride,NYK,0.387861055552127,50.617283950617285,0.4548484848484849,37.00272727272727,132,22.133636363636363,1329.5,10.072424242424242
Tristan da Silva,ORL,0.3878256283823653,50.41152263374485,0.39,41.38,74,22.01,642.0,8.68
Haywood Highsmith,MIA,0.38780514912493214,50.20576131687243,0.39885714285714285,40.77857142857143,140,22.740857142857145,1260.5,9.003142857142857
Marvin Bagley III,MEM,0.3872467487971444,50.0,0.7185185185185186,19.098024691358024,81,16.282222222222224,950.0,11.726913580246913
Mason Plumlee,LAC,0.3848813418639032,49.794238683127574,0.5976666666666667,26.93116666666667,120,16.450666666666667,1175.5,9.795666666666667
Trey Lyles,SAC,0.3819195498011031,49.58847736625515,0.5154330708661418,32.07047244094488,127,19.747244094488185,1293.5,10.181102362204724
Simone Fontecchio,DET,0.38132559234444374,49.382716049382715,0.4521276595744681,36.26468085106383,141,20.431276595744677,1327.0,9.41468085106383
Max Christie,LAL,0.37986718434477734,49.17695473251029,0.3915172413793103,40.15482758620689,145,21.17993103448276,1217.5,8.397655172413792
Larry Nance Jr.,ATL,0.3770834532344053,48.971193415637856,0.6025882352941176,25.498588235294118,85,19.759294117647062,1007.0,11.849882352941176
Steven Adams,HOU,0.3763934884006221,48.76543209876543,0.68,20.17,58,13.69,536.0,9.239999999999998
Caleb Martin,DAL,0.3761461699087212,48.559670781893004,0.40110091743119264,38.98229357798165,109,27.293119266055044,1193.0,10.948440366972475
Thomas Bryant,MIA,0.37603075951242576,48.35390946502058,0.6873076923076924,19.625,104,13.501153846153844,961.0,9.239615384615384
Josh Green,CHA,0.3747345686558566,48.148148148148145,0.33103999999999995,43.51768,125,27.13984,1124.5,8.99584
Chris Boucher,TOR,0.37455033981974145,47.94238683127572,0.68,19.91,100,15.675,1080.5,10.805
Amir Coffey,LAC,0.37424527172114924,47.73662551440329,0.37014084507042255,40.806338028169016,142,22.59394366197183,1195.5,8.418169014084508
James Wiseman,IND,0.37326414822797244,47.53086419753087,0.568125,27.288749999999997,64,17.121718750000003,617.5,9.64625
Eric Gordon,PHI,0.3724518521771256,47.325102880658434,0.41271028037383173,37.6766355140187,107,24.866728971962615,1108.0,10.355700934579438
Jalen Wilson,BKN,0.37243154054022576,47.11934156378601,0.38762295081967213,39.369098360655734,122,22.09377049180328,1026.0,8.411967213114753
Tyrese Martin,BKN,0.3697214084395689,46.913580246913575,0.47,33.42,60,21.92,617.5,10.29
Jonathan Mogbo,TOR,0.3691243037025153,46.70781893004115,0.48,32.66,63,20.41,623.0,9.89
Isaac Okoro,CLE,0.36827366310387255,46.50205761316872,0.3911290322580645,38.545645161290324,124,23.712903225806453,1160.5,9.358790322580646
Nicolas Batum,LAC,0.3678247459172869,46.2962962962963,0.41999999999999993,36.53130434782609,138,20.99086956521739,1213.5,8.79304347826087
Reggie Jackson,PHI,0.36698870640342585,46.09053497942387,0.42353982300884957,36.1741592920354,113,19.479734513274337,941.0,8.329292035398229
Malcolm Brogdon,WAS,0.36583738583401954,45.884773662551446,0.6147619047619048,23.08952380952381,63,26.74380952380952,1039.0,16.493333333333332
Sam Merrill,CLE,0.36529263798148004,45.67901234567901,0.48621212121212126,31.699696969696966,132,18.71409090909091,1192.0,9.028863636363637
Jose Alvarado,NOP,0.3651858254737128,45.47325102880658,0.505,30.415000000000003,112,21.375,1217.0,10.865
Drew Eubanks,LAC,0.36513727024530795,45.267489711934154,0.5869117647058824,24.872794117647057,136,14.077426470588236,1115.0,8.19764705882353
Sandro Mamukelashvili,SAS,0.3649293645190966,45.06172839506173,0.735607476635514,14.795046728971961,107,10.581028037383179,838.0,7.831775700934579
Jaylin Williams,OKC,0.36417463753776264,44.8559670781893,0.6329310344827587,21.627155172413794,116,14.491034482758621,1077.0,9.28396551724138
Brice Sensabaugh,UTA,0.3640769878425475,44.650205761316876,0.5133980582524272,29.691067961165047,103,19.576601941747576,1042.5,10.12116504854369
Patrick Williams,CHI,0.3633788347350971,44.44444444444444,0.42,35.90415094339622,106,25.94490566037736,1151.0,10.85811320754717
Davion Mitchell,SAC,0.36307150213362727,44.23868312757202,0.36013698630136987,39.90616438356164,146,21.42794520547945,1147.0,7.853424657534246
Ryan Dunn,PHX,0.36285317625012903,44.03292181069959,0.42,35.83,74,19.06,595.0,8.04
Gordon Hayward,OKC,0.3618934900390606,43.82716049382716,0.48,31.64,51,24.42,594.5,11.66
Cameron Payne,NYK,0.36084367313321264,43.62139917695473,0.49439999999999995,30.518800000000002,150,15.961599999999999,1174.5,7.83
Anthony Black,ORL,0.36062480445106554,43.415637860082306,0.3636734693877551,39.322040816326535,147,20.754081632653065,1139.5,7.75061224489796
Cam Whitmore,HOU,0.3578007416011666,43.20987654320987,0.6191836734693877,21.657040816326536,98,17.41857142857143,1056.5,10.783469387755101
Ziaire Williams,MEM,0.3569595437532181,43.00411522633745,0.4431578947368421,33.43368421052631,114,22.626842105263158,1153.5,10.118421052631579
Cedi Osman,SAS,0.35649489882001795,42.79835390946502,0.4600000000000001,32.23,72,17.62,586.0,8.14
